"","MDCCode","DRGCode","DRGName","PDX","PPROC","age","ADX","LOS","CC","statusOut","APROC","bornWt"
"1","MDCA","AA19","心脏移植","[NULL]","(37.51001)","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"2","MDCA","AB19","肝移植","[NULL]","(50.59001|50.59005|50.51001|50.59004)","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"3","MDCA","AC19","胰/肾同时移植 ","[NULL]","(52.83001|52.82001|55.61002|55.69001 )","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"4","MDCA","AD19","胰腺移植","[NULL]","(52.83001|52.82001)","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"5","MDCA","AE19","肾移植","[NULL]","(55.61002|55.69001)","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"6","MDCA","AF19","肺移植","[NULL]","(33.51001|33.6001| 33.52001 )","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"7","MDCA","AG19","异体骨髓/造血干细胞移植","[NULL]","(41.03001|41.05001|41.08001|41.06001        )","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"8","MDCA","AG29","自体骨髓/造血干细胞移植","[NULL]","(41.09001|41.01001|41.04001    )","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"9","MDCA","AH19","气管切开伴呼吸机支持≥96小时或ECMO","[NULL]","(31.29001|31.21001|96.55001)","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"10","MDCB","BB11","创伤性伴开颅术，伴重要合并症与伴随病","(S06.101|S06.807|S02.001|S06.221|S06.021|S06.805|S06.809|S04.401|S06.233|S02.102|S06.231| S06.801|S06.301|S06.201|S06.603|S02.103|S06.342|F07.202|S02.109|S06.202|S06.311|S06.302|S06.382|S02.902|S06.041|S02.110|S06.502|S02.003|S06.341|S06.804|S06.501|S06.808|S02.005|S06.903|S06.051|S06.321|F07.203|S02.004|S06.802|S06.402|S06.806|S06.281|S06.331|S06.901|S06.001|S06.282|S02.101|S06.381|S02.002|S06.211|S06.332|S06.902|S06.232|S06.031|S06.011|S06.401|S02.108|S06.601|S06.803)","(01.25003|01.24006 |01.39008|02.05004|02.02002|01.41002|01.32002|01.42001|02.14002|01.24007|01.25004|01.53003|01.39011|01.32005|02.14001|02.05002|02.01001|07.79001|02.13001|02.07001|01.39009|01.32004|01.39002|02.94001|02.04003|02.12001|02.01003|01.39007|01.31002|01.39001|01.39003|02.02001|01.52001|01.21001|01.39014|01.31004|02.12007|01.24017|01.23001|02.94002|01.24005|01.39012|02.03001|01.24011|01.25002|02.06003|01.51001|02.2007|02.05005|01.3901|01.39004|01.32003|02.11001|02.12009|04.41003|02.12005|02.02003|02.01002|01.39013|01.53001|02.2005|01.31003|02.04001| 01.24013|02.12006)","[NULL]","[NULL]","[NULL]","(MCC)","[NULL]","[NULL]","[NULL]"
